EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Density(in),nWeakComp(in),pWeakComp(in),2StepReach(in),ReachEffic(in),Broker(in),nBroker(in),EgoBetween(in),nEgoBetween(in),Size(out),Ties(out),Pairs(out),Density(out),nWeakComp(out),pWeakComp(out),2StepReach(out),ReachEffic(out),Broker(out),nBroker(out),EgoBetween(out),nEgoBetween(out),Size(un),Ties(un),Pairs(un),Density(un),nWeakComp(un),pWeakComp(un),2StepReach(un),ReachEffic(un),Broker(un),nBroker(un),EgoBetween(un),nEgoBetween(un),Outdeg,Indeg,nOutdeg,nIndeg,Degree,NrmDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,inCloseness,outCloseness,Betweenness,nBetweenness,InfoCent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,HeuBug,HeuBugCount,RealBug,RealBugCount
10.63333321,0.759523809,0.219934672,0.065260991,13,20,156,12.82051277,3,23.07692337,5.60504818,38.52040863,68,0.43589744,6.333333492,4.059829235,2,1,2,50,1,50,2.821083784,84.44444275,0.5,0.25,0,0,14,27,182,14.83516502,3,21.4285717,6.347438812,38.60045242,77.5,0.425824165,10.05952358,5.527210712,2,13,0.000742391,0.004825538,14,0.519480526,0.000710738,0.10051351,2,2708198,7201096,0.099475741,0.037410971,139.4644012,0.001922337,0.229454547,11.28333282,418.9034119,0.004186765,0.155437261,10.96666622,0.783333302,0.092673518,0.043253854,0,1,133,1,0,1,0,10,1,9,0,8,1,10,102,1,10,10,16,0,0,1,10,0,10,10,13,17,0,6,14,13,1,12,0,10,1,0,0,1,2,0,0,0,0,1,1,1,1,1,1,2,0.153846154,0,1,1,1,133,0,1,1,0,1,1,0,0,0,0,0
2.333333254,0.777777791,0.611111104,0.052204546,2,0,2,0,2,100,1.707498193,100,1,0.5,0,0,1,0,0,0,1,100,1.893095732,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,3.414996386,94.8453598,2.5,0.416666657,1,16.66666603,1,2,0.000371195,0.000742391,3,0.111317255,0.000596337,0.084334843,1,5285928,7257636,0.050965507,0.037119526,3.421952963,4.72E-05,0.215917319,2,160.3083191,0.000742115,0.059483606,2.333333254,0.777777791,0.361066699,0.003170233,0,4,147,1,0,1,1,6,1,15,0,11,1,6,106,1,6,6,13,0,1,1,6,12,6,6,11,30,10,3.53,11,21,1,14,0,6,1,58,3,1,0,2,7,3.166666667,0,3,2.5,1,1,1,1,0,0,0,1,1,1,147,0,1,1,0,1,1,0,0,0,0,0
20.41666603,0.850694418,0.126324728,0.042028088,23,45,506,8.893280983,6,26.08695602,8.94580555,39.76897812,230.5,0.455533594,0,0,1,0,0,0,1,100,1.893095732,100,0,0,0,0,24,54,552,9.782608986,6,25,9.613957405,39.42161179,249,0.451086968,9.842857361,1.783126235,1,23,0.000371195,0.008537491,24,0.890538037,0.001201144,0.169867411,1,2691916,7257636,0.10007742,0.037119526,7.953039169,0.000109622,0.230993509,2,437.2547607,0.000742115,0.162246659,20.83333397,0.868055582,0.057840548,0.006674273,0,1,160,1,0,1,0,9,1,12,0,11,1,9,133,1,9,9,14,0,0,1,9,0,9,9,13,15,0,8.87,12,13,1,12,0,9,1,0,0,8,1,0,45,16,1,1,0.888888889,0,1,1,1,0,0,0,1,1,1,160,0,1,1,0,1,1,0,0,0,0,0
22.6964283,0.810586751,0.140711725,0.156974137,16,26,240,10.83333302,4,25,7.423904896,46.62004852,107,0.445833325,0,0,12,19,132,14.39393902,1,8.333333015,4.083147526,39.56834412,56.5,0.428030312,0,0,28,80,756,10.58201027,2,7.142857075,9.539717674,36.35077667,338,0.44708994,88.07499695,11.65013218,12,16,0.004454343,0.005939124,28,1.038961053,0.001491771,0.210968226,12,2709878,7201081,0.099414073,0.037411049,1009.459351,0.013914093,0.231419384,16.75,367.6709595,0.006215213,0.136427075,23.3928566,0.835459173,0.057900939,0.027995424,0,1,1302,1,0,1,0,79,1,14,0,13,1,79,1103,1,79,79,116,0,0,1,79,0,79,79,87,117,0,9.43,82,87,1,86,0,79,1,0,2,4,8,1,54,4.088607595,2,1,0.607594937,0,1,1,1,0,0,0,1,1,1,1302,0,1,1,0,1,1,0,0,0,0,0
0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7260330,7260330,0.03710575,0.03710575,0,0,0.009593403,1,1,0.000371058,0.000371058,0,0,0,,0,0,28,1,0,0,0,2,0,0,0,0,0,0,16,1,2,2,6,0,4,1,2,0,2,2,2,8,0,2,4,2,1,2,0,2,0,100,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,28,0,1,1,0,1,1,0,0,0,0,0
22.15384674,0.852070987,0.114603274,0.036124047,25,52,600,8.666666985,7,28,9.428359032,40,274,0.456666678,0,0,1,0,0,0,1,100,1.893095732,100,0,0,0,0,26,61,650,9.384614944,7,26.92307663,10.09651089,39.65014648,294.5,0.453076929,11.84285736,1.821977973,1,25,0.000371195,0.009279882,26,0.964749515,0.001210552,0.171197847,1,2689213,7257636,0.100178011,0.037119526,11.96256351,0.000164888,0.231196463,2,439.6047668,0.000742115,0.163118646,22.59615326,0.869082808,0.05604174,0.006473926,0,1,174,1,0,1,0,11,1,11,0,10,1,11,141,1,11,11,18,0,0,1,11,0,11,11,17,19,0,7.42,14,17,1,16,0,11,1,0,0,9,1,0,73,22.09090909,1,1,0.909090909,0,1,1,1,0,0,0,1,1,1,174,0,1,1,0,1,1,0,0,0,0,0
25.390625,0.846354187,0.125285655,0.102181412,18,32,306,10.45751667,4,22.22222137,11.28433514,56.82242966,137,0.447712421,22.33333397,7.298474789,14,28,182,15.38461494,1,7.142857075,3.674833059,40.08097076,77,0.423076928,28,15.38461494,30,85,870,9.770114899,3,10,12.65775776,45.1058197,392.5,0.451149434,189.8308868,21.81964302,14,18,0.005196733,0.006681514,30,1.113172531,0.00267907,0.378877789,14,2708422,7201070,0.099467516,0.037411109,14624.56445,0.201580718,0.231544495,19,442.0878601,0.007050093,0.164040029,25.515625,0.850520849,0.063849427,0.062966026,0,1,759,1,0,1,5,36,1,17,0,16,1,36,658,1,36,36,56,0,0,1,36,5,36,36,44,57,0,11.54,44,44,1,43,0,36,1,100,0,3,7,0,454,72.11111111,3,1,0.666666667,0,1,1,1,0,0,0,1,1,1,759,0,1,1,0,1,1,0,0,0,0,0
6.909090996,0.690909088,0.336388648,0.053909816,7,12,42,28.5714283,1,14.28571415,4.3429842,59.09090805,15,0.357142866,0.833333313,1.984126925,4,5,12,41.66666794,1,25,3.043801069,64.0625,3.5,0.291666657,1,8.333333015,10,21,90,23.33333397,1,10,5.753526211,52.36486435,34.5,0.383333325,10.41666698,11.57407379,4,7,0.001484781,0.002598367,10,0.37105751,0.000515537,0.07290788,4,2709995,7201081,0.099409774,0.037411049,50.74628448,0.000699472,0.227662832,13.83333302,353.7042542,0.005132962,0.131244615,7.136363506,0.713636339,0.156120032,0.055991411,0,1,3081,1,0,1,48,165,1,15,0,14,1,165,2623,1,165,165,242,0,0,1,165,48,165,165,215,243,0,10.79,215,215,1,214,0,165,1,100,0,3,3,0,18,2.727272727,2,1,1,1,1,1,1,0,0,0,1,1,1,3081,0,1,1,0,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.408314764,100,0,0,0,0,1,0,0,0,1,100,0.408314764,100,0,0,0,0,1,0,0.000371195,0,1,0.03710575,3.68E-05,0.005206024,1,7260330,7254943,0.03710575,0.037133303,0,0,0.186127707,2.5,1,0.000927644,0.000371058,1,1,1,1,0,4,126,1,0,1,4,6,1,12,0,8,1,6,73,1,6,6,19,0,5,1,6,20,6,6,18,37,11,1.97,18,29,1,22,0,6,1,75,4,0,0,2,8,3,2,7,2,1,1,1,1,0,0,0,1,1,1,126,0,1,1,0,1,1,0,0,0,0,0
33.73684311,0.887811661,0.117957242,0.295719564,38,88,1406,6.258890629,7,18.42105293,12.13808441,42.03084946,659,0.468705535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,88,1406,6.258890629,7,18.42105293,12.13808441,42.03084946,659,0.468705535,0,0,0,38,0,0.01410542,38,1.410018563,0.004203012,0.594395697,0,2496906,7260330,0.107893527,0.03710575,0,0,0.231913611,1,523.3956909,0.000371058,0.194209903,34.13158035,0.898199439,0.04758168,0.089153156,1,4,211,3,0,1,1,16,1,12,2,8,1,12,140,1,12,14,24,0,0,5,11,26,14,12,22,56,16,2.5,16,38,3,23,0,10,1,100,2,4,0,1,30,7.666666667,0,6,1.416666667,0,4,1.25,1,1,0.214285714,0,1,1,1,211,0,1,1,0,1,1,0,0,0,0,0
