EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Density(in),nWeakComp(in),pWeakComp(in),2StepReach(in),ReachEffic(in),Broker(in),nBroker(in),EgoBetween(in),nEgoBetween(in),Size(out),Ties(out),Pairs(out),Density(out),nWeakComp(out),pWeakComp(out),2StepReach(out),ReachEffic(out),Broker(out),nBroker(out),EgoBetween(out),nEgoBetween(out),Size(un),Ties(un),Pairs(un),Density(un),nWeakComp(un),pWeakComp(un),2StepReach(un),ReachEffic(un),Broker(un),nBroker(un),EgoBetween(un),nEgoBetween(un),Outdeg,Indeg,nOutdeg,nIndeg,Degree,NrmDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,inCloseness,outCloseness,Betweenness,nBetweenness,InfoCent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,HeuBug,HeuBugCount,RealBug,RealBugCount
4.599999905,0.920000017,0.300000012,0.050385926,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,5,4,80,9.550561905,91.39785004,9.5,0.474999994,0,0,5,1,20,5,4,80,9.550561905,91.39785004,9.5,0.474999994,0,0,5,0,0.005617978,0,5,0.56116724,0.000601112,0.085010007,5,792990,482910,0.112233445,0.18429935,0,0,0.130150318,80.15313721,1,0.089958631,0.001122335,4.699999809,0.939999998,0.232130185,0.019710297,0,10,291,1,0,1,0,24,1,12,0,0,1,24,27,21,24,24,76,0,0,1,24,160,24,24,72,221,104,0.12,51,176,1,151,1,24,1,0,2,0,9,2,1,0.333333333,0,12,4.416666667,1,1,1,1,0,0,0,0,0,0,0,0,0.896907216,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,100,0.561797738,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,0.561797738,100,0,0,0,0,0,1,0,0.001123596,1,0.112233445,4.35E-05,0.006155573,0,791211,792990,0.112485796,0.112233445,0,0,0.115145616,1,2.5,0.001122335,0.002805836,1,1,1,1,0,3,42,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,7,0,2,1,3,5,3,3,7,14,3,1.36,9,10,1,6,0,3,1,66,1,1,0,1,3,1.333333333,0,1,1,1,1,1,1,1,0.166666667,0,0,0,0,0,0,0.595238095,0,0,2,0,0,0,0,0,0
2,1,0.5,0,1,0,0,0,1,100,0.449438214,100,0,0,0,0,1,0,0,0,1,100,8.764044762,98.73417664,0,0,0,0,2,0,2,0,2,100,9.10112381,97.59036255,1,0.5,1,50,1,1,0.001123596,0.001123596,2,0.22446689,0.000524664,0.074198715,1,791211,489160,0.112485796,0.181944564,50.42878723,0.006373629,0.12528953,73.20319366,2.5,0.082158469,0.002805836,2,1,0.5,0,0,3,50,1,0,1,0,5,1,3,0,0,1,5,19,3,5,5,10,0,2,1,5,9,5,5,10,23,5,0.83,8,15,1,9,0,5,1,66,1,1,1,2,3,1.6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.56,0,0,2,0,0,0,0,0,0
3.5,0.875,0.40625,0.054754179,1,0,0,0,1,100,0.561797738,100,0,0,0,0,3,1,6,16.66666603,2,66.66666412,8.651685715,84.61538696,2.5,0.416666657,0,0,4,1,12,8.333333015,3,75,8.988763809,83.33333588,5.5,0.458333343,3,25,3,1,0.003370787,0.001123596,4,0.44893378,0.001103386,0.156042308,3,792100,488284,0.112359554,0.182270974,19.44120789,0.002457149,0.129620045,74.02581787,2,0.08308173,0.002244669,3.5,0.875,0.255741119,0.000185474,0,3,52,1,0,1,0,5,1,3,0,0,1,5,19,1,5,5,11,0,1,1,5,6,5,5,11,22,5,0.86,11,16,1,10,0,5,1,0,2,1,3,2,5,3.6,1,2,1.4,1,1,1,1,0,0,0,1,1,1,1,1,0.653846154,1,0,2,1,1,0,0,0,0
1.666666627,0.555555582,0.839506149,0.073737845,1,0,0,0,1,100,0.561797738,100,0,0,0,0,2,1,2,50,1,50,10.4494381,88.57142639,0.5,0.25,0,0,3,2,6,33.33333206,1,33.33333206,10.67415714,86.36363983,2,0.333333343,0.5,8.333333015,2,1,0.002247191,0.001123596,3,0.33670035,0.000655363,0.092682295,2,792100,489136,0.112359554,0.18195349,0.333333343,4.21E-05,0.128598943,75.15316772,2,0.084346987,0.002244669,2,0.666666627,0.398304522,0.017599342,0,3,52,1,0,1,0,5,1,3,0,0,1,5,19,3,5,5,11,0,2,1,5,9,5,5,11,24,5,0.79,9,16,1,10,0,5,1,66,2,1,1,2,3,1.6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.596153846,0,0,2,0,0,0,0,0,0
4.199999809,0.839999974,0.382222235,0.091158189,1,0,0,0,1,100,0.561797738,100,0,0,0,0,4,2,12,16.66666603,2,50,8.651685715,82.79570007,5,0.416666657,0,0,5,2,20,10,3,60,9.10112381,82.65306091,9,0.449999988,4,20,4,1,0.004494382,0.001123596,5,0.56116724,0.001101314,0.155749261,4,792100,487414,0.112359554,0.182596311,20.44120789,0.002583538,0.129818752,73.65914917,2,0.082670204,0.002244669,4.199999809,0.839999974,0.237354651,0.020707885,0,4,61,2,0,1,0,7,1,4,0,0,1,5,19,1,5,7,12,0,1,2,5,12,7,5,12,31,9,0.61,11,21,2,13,0,5,1,0,2,1,3,3,5,3.6,1,3,1.8,1,2,1.4,1,1,0.571428571,0,1,1,1,1,1,0.590163934,1,0,2,1,1,0,0,0,0
2,1,0.5,0,1,0,0,0,1,100,0.561797738,100,0,0,0,0,1,0,0,0,1,100,2.921348333,100,0,0,0,0,2,0,2,0,2,100,3.258426905,93.54838562,1,0.5,1,50,1,1,0.001123596,0.001123596,2,0.22446689,0.000174309,0.024651015,1,792100,489532,0.112359554,0.181806296,0.333333343,4.21E-05,0.125219926,59.34532928,2,0.066605307,0.002244669,2,1,0.5,0,0,3,43,1,0,1,0,3,1,3,0,0,1,3,19,1,3,3,8,0,2,1,3,5,3,3,8,15,3,1.27,9,11,1,7,0,3,1,66,2,1,0,1,3,2.666666667,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.651162791,0,0,2,0,0,0,0,0,0
3.75,0.535714269,0.489143014,0.107607022,0,0,0,0,0,0,0,0,0,0,0,0,6,9,30,30,2,33.33333206,23.93258476,67.19242859,10.5,0.349999994,0,0,6,9,30,30,2,33.33333206,23.93258476,67.19242859,10.5,0.349999994,0,0,6,0,0.006741573,0,7,0.7856341,0.020877667,2.952548027,7,792990,483450,0.112233445,0.18409349,0,0,0.13206917,102.680954,1,0.115242369,0.001122335,4.5,0.75,0.189413846,0.001211262,0,4,84,2,1,1,0,16,1,4,0,0,1,12,0,4,12,16,34,2,2,2,9,22,16,12,31,70,21,0,14,52,2,32,0,12,1,50,3,0,5,1,6,2.583333333,0,4,2.166666667,1,2,1.333333333,1,1,0.444444444,0,0,0,0,0,0,0.916666667,0,0,2,0,0,0,0,0,0
12.15625,0.810416639,0.285070539,0.355667293,1,0,0,0,1,100,1.685393214,100,0,0,0,0,15,22,210,10.47619057,1,6.666666508,17.30337143,38.30845642,94,0.447619051,1,0.476190478,15,22,210,10.47619057,1,6.666666508,17.30337143,38.30845642,94,0.447619051,1,0.476190478,15,1,0.016853932,0.001123596,15,1.68350172,0.051511571,7.284836292,15,792100,487768,0.112359554,0.182463795,1,0.000126389,0.13377437,110.6190109,2,0.124151528,0.002244669,12.9375,0.862500012,0.099147156,0.06184914,3,21,366,6,0,2,1,31,3,32,1,9,3,9,120,1,9,28,46,4,2,7,2,159,28,22,48,221,50,0.54,25,98,6,65,1,8,3,81,1,1,30,3,15,6.111111111,2,14,8.888888889,4,10,3.888888889,1,4,2,0,3,3,1,27,32,0.677595628,1,0,2,1,1,1,2,1,2
12.125,0.808333337,0.287230909,0.359425247,1,0,0,0,1,100,1.685393214,100,0,0,0,0,15,22,210,10.47619057,1,6.666666508,17.30337143,37.28813553,94,0.447619051,1,0.476190478,15,22,210,10.47619057,1,6.666666508,17.30337143,37.28813553,94,0.447619051,1,0.476190478,15,1,0.016853932,0.001123596,15,1.68350172,0.053931609,7.627081394,15,792100,487768,0.112359554,0.182463795,1,0.000126389,0.133778721,110.6190109,2,0.124151528,0.002244669,12.9375,0.862500012,0.09881226,0.061871719,3,20,376,5,0,2,1,32,3,30,1,8,3,10,123,1,10,27,50,5,2,6,2,165,27,18,51,227,49,0.54,26,100,5,68,0,9,3,83,2,0,30,1,13,5.2,2,22,8.7,2,12,3.6,1,3,1.583333333,0,3,3,1,18,23,0.664893617,1,0,2,1,1,1,2,1,2
